sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level
BASEBALL,65.98,38.28,132.76,48.39,70.17,133.51,0.4098,1,1,1,1,3
CRICKET,90.16,116.78,124.8,88.71,59.08,164.77,0.4561,1,1,0,1,2
TRACK,95.61,65.63,115.18,36.84,63.33,161.1,0.6106,1,1,0,0,2
VOLLEYBALL,154.47,145.22,132.78,116.1,38.04,171.14,0.7195,0,0,1,0,1
CRICKET,48.42,74.82,79.53,84.87,44.76,131.88,0.2139,1,1,1,1,3
CRICKET,142.34,84.09,91.18,109.1,62.91,146.43,0.4579,1,1,1,0,2
HOCKEY,66.34,126.19,115.1,103.03,35.21,172.68,0.7592,0,1,0,1,1
SWIMMING,101.83,89.34,152.02,122.52,45.14,157.74,0.439,1,1,1,1,2
BADMINTON,143.94,83.47,148.31,94.7,50.92,153.97,0.5345,1,1,1,1,2
AMERICAN_FOOTBALL,89.18,160.11,163.53,68.79,22.19,162.31,0.6497,1,1,0,0,1
TRACK,62.79,106.01,92.21,82.31,39.41,147.5,0.5014,1,1,1,0,2
CYCLING,114.9,99.42,166.19,131.12,45.76,151.92,0.4975,0,1,0,1,2
SOCCER,81.83,63.93,117.94,66.69,48.55,147.85,0.403,1,1,1,1,3
BASEBALL,21.2,109.96,91.17,22.62,85.2,133.24,0.3313,1,1,1,1,3
RUGBY,85.0,124.07,110.89,80.92,29.68,175.75,0.9034,1,0,0,0,0
RUGBY,86.28,99.49,100.06,112.67,35.55,167.8,0.6037,1,0,1,0,1
BASKETBALL,77.64,105.66,115.42,24.34,40.87,154.31,0.6765,1,1,0,1,2
BASKETBALL,110.58,109.22,145.34,62.16,20.04,165.87,0.6293,0,1,0,0,1
CYCLING,125.99,128.26,166.27,138.88,58.98,156.53,0.4341,1,1,1,0,2
TRACK,126.41,130.24,151.19,58.14,23.66,158.97,0.5974,0,1,0,0,1
CYCLING,165.66,90.95,139.5,52.44,31.71,171.0,0.8828,0,0,0,0,0
OTHER,157.73,144.47,156.43,32.75,30.81,168.85,0.6862,0,1,0,0,1
CYCLING,136.88,97.58,105.36,20.21,31.25,181.75,0.8903,0,0,0,0,0
WRESTLING,99.64,100.99,108.84,87.66,50.09,146.83,0.6219,0,1,0,1,2
HOCKEY,92.4,129.58,134.49,20.11,43.82,150.68,0.5831,1,1,1,1,2
HOCKEY,40.95,106.94,146.63,20.9,49.79,140.7,0.239,1,1,1,1,3
RUGBY,102.71,87.87,162.66,110.02,45.56,154.63,0.458,1,1,1,1,2
CYCLING,86.27,120.0,169.58,25.28,14.97,175.62,0.8733,0,0,0,0,0
RUGBY,133.03,120.04,100.58,24.28,30.71,172.73,0.9318,0,0,0,0,0
CRICKET,85.87,133.48,116.93,79.2,57.85,164.94,0.5086,1,1,1,0,2
HOCKEY,116.99,96.87,83.31,55.59,37.12,160.16,0.5623,1,1,0,0,2
TRACK,102.53,174.59,160.85,46.3,27.25,162.03,0.8327,0,0,0,0,0
BADMINTON,102.15,92.9,96.13,87.61,28.75,147.04,0.5068,0,1,1,0,2
VOLLEYBALL,68.38,133.85,91.65,69.39,56.56,164.86,0.5189,0,1,1,1,2
TENNIS,148.09,143.54,155.26,88.81,0.26,162.37,0.7756,0,0,0,0,0
BADMINTON,92.33,140.24,111.59,61.15,61.61,149.67,0.6671,0,1,1,0,2
SOCCER,168.69,119.55,144.87,79.12,37.74,166.06,0.9699,0,0,0,0,0
CYCLING,80.36,74.24,163.47,47.69,44.78,158.46,0.5512,0,1,1,1,2
CRICKET,71.72,78.11,132.58,97.81,80.4,138.2,0.4084,1,1,1,1,3
TENNIS,86.96,112.35,112.5,39.79,35.44,165.65,0.849,0,0,0,0,0
GYMNASTICS,63.76,105.9,143.94,40.0,47.51,129.92,0.1238,1,1,1,1,3
CRICKET,94.08,96.83,145.03,48.66,12.1,173.2,0.7529,1,0,0,0,1
BOXING,33.7,75.7,154.76,21.7,60.7,140.98,0.2479,1,1,0,1,3
BASEBALL,144.53,73.17,92.96,127.95,37.82,150.79,0.5086,0,1,1,1,2
VOLLEYBALL,77.68,115.24,168.54,98.29,20.26,180.46,0.9082,0,0,0,0,0
OTHER,137.06,122.02,119.1,56.75,23.96,173.11,0.9905,0,0,0,0,0
AMERICAN_FOOTBALL,122.95,112.12,158.95,83.01,6.37,181.61,0.8169,0,0,0,0,0
BADMINTON,97.92,66.23,97.03,52.78,42.88,158.29,0.5919,0,1,1,0,2
RUGBY,114.52,132.01,160.93,81.79,39.83,169.31,0.6051,0,1,0,1,1
SWIMMING,129.47,139.4,90.44,89.52,19.41,168.15,0.8867,0,0,0,0,0
WRESTLING,58.09,72.04,169.57,120.64,27.29,158.55,0.5908,1,1,1,1,2
BASEBALL,109.26,166.6,100.06,73.56,6.12,176.11,0.8482,0,0,0,0,0
BASEBALL,77.08,113.71,142.78,77.43,51.15,159.05,0.4557,1,1,1,1,2
SWIMMING,55.6,51.15,87.25,67.15,54.17,131.85,0.2009,0,1,1,1,3
BASEBALL,122.57,139.17,132.46,58.63,37.0,151.01,0.5317,0,1,1,0,2
BASEBALL,155.09,102.39,134.58,76.68,8.14,162.29,0.9166,0,0,0,0,0
GYMNASTICS,112.66,124.51,129.72,72.53,15.68,176.19,0.8336,0,0,0,0,0
BOXING,131.56,128.08,135.6,23.1,43.58,156.43,0.6445,0,0,1,1,1
WRESTLING,114.33,156.18,132.73,53.58,13.86,181.81,0.9954,0,0,0,0,0
TRACK,108.84,164.34,143.62,67.23,15.03,169.81,0.5878,0,1,0,0,1
BADMINTON,115.62,66.96,119.13,27.75,33.76,145.6,0.5639,0,1,0,1,2
WRESTLING,87.79,103.42,122.62,75.41,70.51,141.53,0.4717,1,0,1,1,3
SWIMMING,89.75,143.41,131.12,50.46,16.14,172.36,0.637,0,1,0,0,1
RUGBY,102.54,152.46,145.57,61.73,36.49,177.11,0.7033,0,0,0,0,0
BASKETBALL,91.63,79.47,127.62,79.88,30.31,152.81,0.6058,1,0,1,1,2
GYMNASTICS,96.53,81.09,85.47,101.38,64.21,140.17,0.4628,1,1,1,1,3
CYCLING,125.81,127.2,133.19,43.45,32.34,169.39,0.8223,0,0,0,0,0
OTHER,169.49,127.15,90.65,68.47,36.07,164.39,0.8376,0,0,1,0,0
CYCLING,83.12,85.13,76.69,113.97,68.71,148.06,0.3942,1,1,1,1,3
BOXING,123.67,95.24,141.03,50.85,20.28,173.9,0.6698,0,1,0,1,1
SOCCER,65.15,142.82,90.07,84.24,35.71,149.88,0.5845,1,1,1,1,2
CYCLING,81.48,84.09,109.66,48.15,80.68,142.08,0.2279,1,1,1,1,3
BASEBALL,42.71,60.14,153.95,118.97,72.7,130.61,0.2785,1,1,1,1,3
BASEBALL,66.3,89.77,125.28,70.68,30.98,172.31,0.6901,0,1,1,0,1
RUGBY,59.03,94.67,117.46,79.92,53.21,163.36,0.5028,1,1,1,1,2
HOCKEY,57.47,82.35,93.96,85.73,55.29,161.33,0.5928,0,0,1,1,2
SOCCER,120.7,113.38,120.41,99.36,33.89,171.59,0.7338,0,0,0,0,0
TENNIS,151.14,122.0,145.4,92.62,13.9,171.36,0.6745,0,1,0,0,1
VOLLEYBALL,45.92,43.08,128.62,20.46,53.85,139.01,0.3909,1,0,1,1,3
BASKETBALL,120.05,174.15,134.18,55.69,6.13,181.86,0.9886,0,0,0,1,0
CRICKET,100.9,116.23,84.31,85.34,36.88,156.5,0.6687,0,1,0,1,2
OTHER,119.36,99.88,146.81,38.7,41.5,172.66,0.7084,0,1,1,0,1
BASKETBALL,167.62,147.58,149.35,56.8,0.93,162.89,0.7585,0,0,0,0,0
SWIMMING,157.47,116.68,159.32,44.87,32.25,168.1,0.7133,0,1,0,0,1
SOCCER,117.08,140.96,159.12,80.68,43.96,158.32,0.6193,1,1,1,0,2
GYMNASTICS,26.87,73.32,99.26,34.05,76.3,145.92,0.3212,1,1,1,1,3
BOXING,103.61,100.5,119.64,51.99,18.73,171.33,0.9065,0,0,0,0,0
BOXING,97.63,139.4,137.66,115.17,63.19,158.47,0.5671,0,1,1,1,2
BASKETBALL,122.41,92.27,95.49,33.21,17.7,173.3,0.9086,0,0,0,0,0
BOXING,148.55,124.6,115.39,59.79,16.84,164.26,0.792,0,0,1,0,1
BADMINTON,105.37,141.57,88.9,96.73,34.49,163.59,0.4306,1,0,0,1,2
BOXING,86.77,82.47,153.42,133.51,48.48,163.81,0.5737,1,1,0,1,2
TENNIS,94.4,52.34,130.53,66.86,73.42,141.58,0.1778,1,1,0,1,3
TRACK,69.4,38.13,139.64,67.25,64.92,122.66,0.3809,1,1,1,1,3
BASEBALL,48.8,80.65,147.36,56.32,49.35,151.28,0.3816,0,1,1,1,3
RUGBY,124.19,122.74,132.6,90.44,55.74,158.24,0.5402,0,1,1,1,2
CYCLING,110.14,144.49,110.65,67.0,25.84,158.19,0.6913,0,1,0,0,1
OTHER,111.56,106.92,90.54,38.0,26.04,161.73,0.8036,0,0,0,1,1
BASKETBALL,69.28,76.27,105.68,81.68,35.48,164.42,0.4467,1,1,0,1,2
SOCCER,70.67,122.6,141.76,114.52,30.66,145.45,0.6687,0,1,1,0,2
BADMINTON,81.38,129.04,103.11,77.87,30.89,151.7,0.5952,0,1,1,1,2
BOXING,83.49,81.26,149.45,130.68,42.03,146.06,0.3179,1,1,1,1,3
TRACK,134.33,95.86,109.49,31.37,48.07,147.54,0.4229,1,1,1,1,2
BASEBALL,66.86,65.4,154.08,60.79,84.57,134.91,0.3851,1,1,0,1,3
BASEBALL,57.43,44.01,114.28,37.32,81.47,125.58,0.4785,1,1,1,1,3
TRACK,127.62,128.97,158.85,70.64,56.02,157.55,0.4512,1,1,1,0,2
BASEBALL,31.23,102.62,101.35,121.33,57.17,135.26,0.325,1,1,0,1,3
BASKETBALL,79.87,125.63,143.92,68.83,21.72,175.91,0.9381,0,0,0,0,0
BOXING,143.05,131.17,86.9,71.24,59.22,148.89,0.5544,1,1,1,1,2
BASKETBALL,99.02,123.78,131.87,32.12,16.54,158.13,0.7681,1,0,0,0,1
BADMINTON,87.17,133.34,112.77,46.09,47.36,161.57,0.5765,1,0,0,1,2
WRESTLING,93.48,141.05,145.93,75.95,26.32,163.31,0.8461,0,0,0,0,0
AMERICAN_FOOTBALL,65.34,78.32,137.83,111.76,74.75,149.23,0.317,0,1,1,1,3
BOXING,80.3,66.11,94.65,29.49,40.94,155.92,0.6407,1,0,1,1,2
TRACK,106.43,127.12,174.03,32.2,2.49,166.3,0.8755,0,0,0,0,0
HOCKEY,89.42,63.69,148.91,115.55,68.52,124.53,0.4676,0,1,1,1,3
CYCLING,24.7,54.76,118.49,76.32,50.11,141.43,0.4042,1,1,0,1,3
HOCKEY,125.98,103.3,97.74,37.29,32.26,152.15,0.6108,1,0,1,0,2
TRACK,75.26,131.1,145.27,86.34,48.12,151.89,0.6468,0,0,1,1,2
BASEBALL,20.54,63.56,109.89,33.33,57.42,132.24,0.2532,1,1,1,1,3
HOCKEY,165.94,156.51,113.06,89.75,29.54,171.44,0.9095,0,0,0,0,0
WRESTLING,57.74,144.74,84.1,123.86,56.8,147.16,0.5743,1,1,1,0,2
BASKETBALL,115.61,98.53,172.62,64.43,10.07,163.41,0.7892,0,1,0,0,1
BASKETBALL,120.02,155.93,119.93,64.8,36.13,173.16,0.7889,0,0,0,0,0
WRESTLING,98.79,137.97,90.88,82.73,45.89,169.22,0.7422,0,1,0,0,1
CRICKET,107.43,171.72,130.71,74.82,28.71,180.71,0.9505,0,0,0,0,0
RUGBY,167.31,102.49,90.42,78.4,33.19,176.39,0.7398,0,0,0,0,0
TRACK,91.83,162.36,117.8,60.24,27.99,169.27,0.8903,0,1,0,0,0
AMERICAN_FOOTBALL,100.24,100.34,152.47,21.85,26.47,170.89,0.6635,1,0,0,0,1
TRACK,68.52,126.7,166.42,111.59,28.21,153.02,0.5909,0,1,0,1,2
WRESTLING,86.83,117.03,167.11,47.53,56.79,149.12,0.5705,1,1,1,1,2
SWIMMING,75.43,73.3,79.66,50.52,76.37,128.96,0.5052,1,1,1,1,3
BOXING,79.24,161.09,94.24,49.36,18.23,163.03,0.9485,0,0,0,0,0
WRESTLING,160.38,98.75,173.66,63.97,46.89,155.24,0.6969,1,1,0,0,1
GYMNASTICS,56.58,80.68,151.07,80.96,37.74,162.64,0.6271,0,0,1,1,2
BADMINTON,75.69,91.76,168.13,116.9,32.62,146.21,0.5941,1,0,1,1,2
SOCCER,82.22,158.52,89.23,84.8,37.93,160.4,0.7603,1,0,1,0,1
CYCLING,79.55,115.46,156.87,91.96,10.3,181.01,0.8046,0,0,0,0,0
WRESTLING,125.2,141.13,131.28,128.77,56.21,163.46,0.4551,0,1,1,0,2
VOLLEYBALL,169.26,116.45,112.94,60.54,19.43,181.31,0.8769,0,0,0,0,0
BASKETBALL,138.8,70.4,126.83,66.16,50.84,145.43,0.4428,0,0,1,1,2
CRICKET,62.6,118.91,130.96,66.18,38.52,155.57,0.6535,1,1,1,1,2
SOCCER,90.66,108.16,121.32,45.07,1.57,169.45,0.9402,0,0,0,0,0
TRACK,29.21,108.71,132.76,57.44,85.8,141.11,0.2417,1,1,1,0,3
BASEBALL,128.09,113.33,96.48,102.8,31.41,149.74,0.4249,1,1,1,0,2
BASEBALL,151.74,164.56,88.5,98.49,12.57,163.8,0.7377,1,0,1,0,1
CYCLING,108.32,100.67,82.21,123.91,45.6,149.14,0.6072,0,1,0,1,2
HOCKEY,150.04,116.22,101.12,77.42,33.04,158.89,0.7952,0,0,1,1,1
VOLLEYBALL,75.83,74.0,135.85,76.61,58.22,150.46,0.6742,1,1,1,1,2
CRICKET,103.26,157.96,142.84,46.01,4.27,171.38,0.733,0,0,0,0,0
BASEBALL,79.83,99.09,136.77,136.45,71.05,130.72,0.4708,1,0,1,1,3
CYCLING,122.35,118.47,128.39,54.55,11.56,165.19,0.8019,1,1,0,0,1
BADMINTON,71.48,85.08,149.86,92.66,76.05,142.44,0.3906,1,1,1,0,3
HOCKEY,146.88,92.89,92.13,75.83,1.98,167.49,0.7568,1,0,0,0,0
VOLLEYBALL,64.78,110.14,156.87,128.27,42.42,151.22,0.56,0,1,1,0,2
RUGBY,77.61,106.86,156.21,41.52,45.45,154.44,0.6504,1,0,0,1,2
BADMINTON,93.48,139.94,152.97,77.9,31.99,157.02,0.6112,0,0,1,0,1
TRACK,92.21,119.2,111.95,45.49,42.92,146.8,0.4206,1,0,1,0,2
BADMINTON,70.88,64.88,91.79,118.73,47.9,124.78,0.4052,1,1,1,1,3
BASKETBALL,96.75,69.14,80.51,33.32,54.6,151.78,0.5095,1,0,1,1,2
CRICKET,87.42,59.2,77.62,54.73,48.01,137.94,0.1605,1,1,1,1,3
BASKETBALL,103.18,81.99,120.09,45.32,60.98,157.9,0.5072,0,1,1,0,2
WRESTLING,127.77,170.78,173.49,27.9,36.26,176.33,0.8228,0,0,0,0,0
GYMNASTICS,72.1,110.18,141.25,37.3,45.4,155.99,0.7354,0,1,0,0,1
HOCKEY,98.82,152.26,167.65,69.94,44.92,165.67,0.7857,1,0,0,0,1
HOCKEY,140.45,89.96,151.19,89.35,64.25,145.42,0.5507,1,1,1,0,2
TENNIS,153.13,95.05,142.72,69.73,12.7,179.9,0.9034,0,0,0,0,0
HOCKEY,117.1,132.53,147.24,43.73,20.28,167.92,0.9779,0,0,0,0,0
TRACK,146.87,161.75,140.59,77.49,31.23,163.35,0.7297,0,0,0,1,1
SOCCER,87.03,102.17,136.27,29.65,33.58,181.66,0.7327,0,0,0,0,0
SWIMMING,91.19,78.51,108.93,139.07,44.43,124.82,0.1029,1,1,1,0,3
BASKETBALL,86.68,155.55,143.83,48.04,23.61,161.87,0.7539,1,0,0,0,1
BASKETBALL,93.65,103.44,159.84,57.55,62.18,151.52,0.5898,1,1,1,1,2
GYMNASTICS,77.4,106.15,108.3,56.21,32.04,164.69,0.4837,1,1,0,1,2
BADMINTON,161.99,116.0,90.89,27.26,25.16,168.26,0.5972,0,0,1,0,1
WRESTLING,119.64,93.66,136.38,24.41,7.42,180.04,0.9133,0,0,0,0,0
BOXING,120.98,116.51,147.37,21.6,37.0,169.12,0.7749,0,0,0,0,0
TRACK,148.51,108.28,86.65,98.17,12.36,159.95,0.7389,0,1,0,0,1
RUGBY,159.55,150.74,149.35,92.64,21.43,181.77,0.9956,0,0,0,0,0
SOCCER,43.32,47.73,91.82,82.83,51.07,139.01,0.4785,1,1,1,1,3
BADMINTON,78.71,81.53,88.25,20.74,63.99,162.84,0.5088,1,1,0,1,2
GYMNASTICS,134.69,153.82,106.09,66.73,18.57,171.34,0.7021,0,1,0,0,1
CYCLING,71.24,115.08,170.0,60.38,43.33,172.31,0.6775,0,1,0,0,1
CYCLING,70.57,108.49,122.29,88.51,44.31,162.97,0.4984,1,1,0,0,2
WRESTLING,109.47,133.88,135.92,104.23,27.36,155.98,0.4434,1,0,1,1,2
SWIMMING,76.74,42.63,142.44,70.9,65.08,148.46,0.1152,1,1,0,1,3
AMERICAN_FOOTBALL,99.91,141.65,158.79,58.9,23.29,171.34,0.7806,0,0,0,0,0
TENNIS,41.37,88.33,105.77,89.81,85.09,136.28,0.3386,1,0,1,1,3
GYMNASTICS,139.86,72.04,86.95,22.64,64.46,161.42,0.4425,1,0,1,1,2
SWIMMING,162.63,124.28,130.17,60.76,3.07,168.4,0.987,0,0,0,0,0
SWIMMING,51.04,56.25,117.1,99.96,51.46,141.25,0.4852,0,1,1,1,3
CRICKET,56.89,84.98,88.3,53.89,63.15,146.75,0.561,1,1,0,0,2
AMERICAN_FOOTBALL,149.05,160.42,165.25,51.54,35.45,170.92,0.7518,0,0,0,0,0
BOXING,137.1,66.57,120.72,98.72,50.9,149.58,0.6532,0,1,1,0,2
TRACK,99.3,86.14,132.96,57.3,77.49,130.4,0.4409,0,1,1,1,3
RUGBY,164.97,114.68,172.22,81.89,19.58,171.89,0.6117,0,0,0,1,1
TENNIS,89.09,70.23,96.55,139.45,43.5,153.88,0.6337,1,0,1,1,2
GYMNASTICS,126.76,146.74,150.25,92.6,39.65,172.09,0.6017,0,0,1,0,1
CYCLING,116.46,105.01,87.77,38.47,40.78,161.4,0.485,1,0,0,1,2
SWIMMING,96.64,160.71,156.0,30.06,17.46,169.37,0.7726,0,0,0,0,0
SOCCER,164.3,142.7,117.91,59.23,26.14,172.76,0.9747,0,0,0,0,0
AMERICAN_FOOTBALL,122.55,165.34,96.88,80.62,27.33,170.44,0.8693,0,0,0,0,0
BASKETBALL,72.95,121.07,118.0,45.65,61.8,151.26,0.6426,1,1,1,0,2
BADMINTON,80.69,92.81,153.44,68.66,35.43,150.25,0.651,0,1,1,0,2
GYMNASTICS,86.83,154.72,99.68,44.1,14.3,165.62,0.6322,0,1,0,0,1
VOLLEYBALL,150.15,112.13,106.15,42.67,43.31,155.15,0.5825,0,0,1,0,1
CYCLING,47.83,102.86,130.54,151.48,59.16,139.89,0.168,1,0,1,1,3
TENNIS,36.35,61.34,79.29,46.27,66.01,135.99,0.4611,1,1,1,1,3
BOXING,62.15,126.43,84.84,53.85,52.13,157.78,0.6165,1,0,0,1,2
GYMNASTICS,88.1,134.74,164.38,21.18,49.94,163.65,0.7746,0,1,0,0,1
BADMINTON,104.45,171.63,135.06,94.4,36.74,181.55,0.9033,0,0,0,0,0
CYCLING,79.74,131.61,163.91,24.12,49.51,160.55,0.7575,0,1,0,0,1
SWIMMING,73.01,71.47,99.73,93.79,46.13,147.12,0.1825,1,0,1,1,3
SWIMMING,24.77,53.51,79.49,142.61,76.06,144.79,0.4265,1,1,1,1,3
SWIMMING,109.01,104.05,109.16,71.73,23.57,157.93,0.7043,0,1,0,0,1
BASEBALL,86.17,96.94,144.98,109.57,41.55,173.6,0.6403,0,0,1,1,1
BASKETBALL,159.53,131.76,133.68,42.09,30.0,166.71,0.7329,0,0,0,0,0
BASKETBALL,160.5,109.07,119.9,31.3,17.16,160.55,0.7372,0,1,0,0,1
VOLLEYBALL,99.06,73.18,97.92,38.05,32.4,160.99,0.5712,1,1,0,1,2
SOCCER,131.3,116.58,95.51,81.52,23.13,178.93,0.7571,0,0,0,0,0
CRICKET,106.34,156.54,90.83,64.81,21.9,172.83,0.6606,0,0,1,0,1
CRICKET,118.28,69.12,114.28,68.92,27.2,146.45,0.4332,1,1,1,1,2
SOCCER,141.66,108.91,157.85,103.36,41.6,151.8,0.5256,1,1,0,0,2
BASEBALL,68.26,45.88,112.25,62.74,81.43,146.47,0.3443,1,1,1,1,3
BOXING,72.48,67.34,107.32,54.91,64.34,160.59,0.5651,1,0,1,1,2
AMERICAN_FOOTBALL,65.06,108.91,134.96,61.75,46.55,155.89,0.6277,0,0,1,1,2
BASEBALL,71.88,83.09,165.87,39.66,64.43,162.31,0.4576,0,1,1,1,2
WRESTLING,76.99,41.57,95.28,131.6,75.38,126.8,0.4656,1,0,1,1,3
BASEBALL,142.62,133.03,106.59,83.29,39.5,150.95,0.4404,1,0,1,1,2
BADMINTON,47.41,71.77,109.2,52.48,42.88,138.28,0.2898,1,1,1,1,3
RUGBY,56.78,35.68,87.21,152.48,48.71,127.49,0.4857,1,0,1,1,3
AMERICAN_FOOTBALL,119.82,75.23,159.32,136.93,28.19,150.14,0.4352,1,1,0,1,2
CYCLING,98.4,158.72,135.99,31.31,10.78,178.97,0.7884,0,0,0,0,0
TRACK,80.86,134.37,106.14,115.43,57.82,163.32,0.674,1,1,0,0,2
OTHER,20.55,89.28,105.44,42.24,46.02,141.89,0.3312,1,1,1,1,3
WRESTLING,100.71,114.12,143.79,47.28,51.72,150.87,0.4666,1,0,1,0,2
HOCKEY,87.19,126.33,173.48,32.08,31.99,166.03,0.8248,0,0,0,0,0
OTHER,61.61,59.66,128.33,115.08,40.72,122.3,0.5163,1,1,0,1,3
SOCCER,145.79,96.17,106.41,62.14,36.7,173.22,0.8399,1,0,0,0,0
OTHER,91.31,95.03,104.46,132.33,48.95,153.7,0.4954,1,1,1,1,2
BOXING,147.71,115.85,104.24,27.67,36.27,164.79,0.8455,0,0,0,0,0
BADMINTON,135.03,92.82,160.71,63.51,14.4,176.81,0.8966,0,0,0,0,0
OTHER,146.83,123.64,137.02,35.73,21.28,169.37,0.733,0,0,1,0,1
BOXING,40.1,66.87,93.0,123.85,70.37,148.37,0.4292,0,1,1,1,3
CRICKET,80.38,151.85,118.31,117.11,24.56,174.49,0.6096,0,1,0,0,1
HOCKEY,31.51,69.86,144.54,140.68,50.62,145.25,0.2355,1,1,1,1,3
CRICKET,136.27,87.74,156.5,83.44,30.95,162.19,0.6561,1,0,1,1,2
TENNIS,85.55,97.11,81.45,69.76,33.86,155.69,0.5817,0,1,1,1,2
TENNIS,137.69,98.91,146.01,135.38,43.82,146.39,0.5367,0,0,1,1,2
VOLLEYBALL,115.0,77.71,112.2,112.62,44.28,149.08,0.5094,1,1,0,1,2
VOLLEYBALL,77.1,86.44,126.85,28.36,13.28,160.96,0.7658,1,0,0,0,1
BOXING,88.21,77.05,149.73,75.21,57.05,157.89,0.428,0,1,1,1,2
CRICKET,107.58,70.49,131.46,27.26,46.06,150.72,0.5753,0,1,1,0,2
AMERICAN_FOOTBALL,130.91,119.82,96.57,84.28,6.81,165.45,0.8443,0,0,0,0,0
OTHER,59.09,89.99,143.81,116.64,71.2,143.26,0.313,1,1,0,1,3
BADMINTON,81.49,94.96,122.74,88.22,72.02,139.78,0.2813,1,1,1,1,3
OTHER,124.51,133.8,98.59,90.4,14.83,155.66,0.629,1,1,0,0,1
SOCCER,120.6,139.81,86.46,65.61,15.24,163.46,0.7501,1,0,0,0,1
VOLLEYBALL,98.39,144.66,164.36,110.92,44.74,160.71,0.5455,1,1,1,1,2
HOCKEY,117.41,142.63,111.46,99.77,39.61,171.81,0.701,0,0,0,1,1
CRICKET,117.01,74.24,140.64,28.94,37.53,149.13,0.4917,1,0,1,1,2
WRESTLING,106.74,120.83,113.21,38.95,41.42,153.03,0.6432,1,1,1,1,2
OTHER,146.94,90.88,117.33,30.72,28.95,173.84,0.7296,1,1,0,0,1
SWIMMING,154.49,164.76,122.32,62.63,8.4,171.4,0.8489,0,0,1,0,0
CYCLING,50.08,95.68,119.27,119.82,48.04,123.13,0.4352,1,1,1,1,3
CYCLING,92.81,132.23,109.04,104.27,54.56,160.09,0.4361,0,1,1,1,2
SWIMMING,87.83,42.25,141.06,122.24,57.27,131.46,0.4541,1,1,1,0,3
BASEBALL,134.88,107.72,81.05,60.4,60.04,155.07,0.6577,1,0,1,1,2
RUGBY,89.45,147.68,152.45,57.57,16.23,169.1,0.7762,0,0,0,0,0
TRACK,49.58,35.15,98.82,25.71,84.84,137.75,0.4689,1,1,0,1,3
VOLLEYBALL,104.13,83.99,113.24,133.64,29.49,160.39,0.5896,1,1,1,1,2
BADMINTON,141.23,110.48,153.64,80.31,33.0,181.87,0.8007,0,0,0,0,0
OTHER,64.63,136.05,89.42,101.25,42.93,147.3,0.4896,1,0,0,1,2
WRESTLING,96.16,122.65,157.81,61.63,59.8,158.17,0.6698,1,0,1,0,2
SWIMMING,125.69,170.05,155.33,97.72,20.94,173.1,0.7969,0,0,0,0,0
BASEBALL,74.56,97.64,159.41,83.77,62.71,154.16,0.5318,0,1,1,1,2
RUGBY,101.75,155.49,110.7,89.66,15.91,159.06,0.727,1,1,0,0,1
BASKETBALL,75.17,102.36,142.27,76.04,72.97,150.36,0.2597,1,0,1,1,3
GYMNASTICS,57.97,103.94,145.17,120.61,54.25,151.1,0.3729,0,1,1,1,3
SWIMMING,72.24,109.72,131.23,46.25,30.52,155.55,0.7718,0,0,0,1,1
RUGBY,129.9,101.36,164.5,79.87,33.1,153.83,0.6445,1,1,0,1,2
CRICKET,58.99,57.57,76.53,36.08,65.73,147.57,0.2574,1,1,1,1,3
RUGBY,153.95,104.22,136.14,51.9,26.2,171.1,0.7772,0,0,0,0,0
SWIMMING,77.84,35.68,152.7,159.76,63.78,133.38,0.2015,1,1,1,1,3
CRICKET,96.94,117.85,112.83,31.21,0.91,166.3,0.9823,0,0,0,0,0
VOLLEYBALL,78.89,132.11,101.83,51.38,19.65,168.0,0.5941,1,1,0,0,1
WRESTLING,49.45,94.8,131.57,37.17,42.25,148.06,0.3884,1,1,1,1,3
OTHER,72.79,139.45,169.82,61.38,18.58,171.39,0.7384,1,1,0,0,1
BASKETBALL,31.96,39.57,118.06,104.38,80.91,124.34,0.1713,1,1,1,1,3
GYMNASTICS,110.74,133.67,96.64,61.01,62.55,152.62,0.616,1,1,0,1,2
SWIMMING,136.61,115.3,107.79,49.5,32.59,162.2,0.8172,1,1,0,0,1
TENNIS,77.3,108.57,149.16,113.48,26.06,151.79,0.5514,1,1,0,0,2
BADMINTON,127.42,117.41,144.17,33.35,28.7,156.74,0.6166,0,1,0,0,1
CRICKET,73.96,105.99,100.63,95.45,43.84,163.87,0.7955,1,0,0,0,1
GYMNASTICS,38.58,85.29,125.53,104.06,84.64,148.99,0.1158,0,1,1,1,3
WRESTLING,44.81,56.61,85.62,124.31,73.62,129.42,0.1275,1,1,1,1,3
TENNIS,160.78,119.83,166.83,98.31,41.77,155.83,0.7735,0,0,0,1,1
RUGBY,126.14,85.2,130.54,47.26,30.71,149.8,0.5305,0,0,1,1,2
OTHER,167.18,132.91,127.07,30.69,5.49,177.85,0.7786,0,0,0,0,0
CRICKET,97.52,127.0,111.44,96.67,32.44,171.56,0.721,0,1,0,0,0
BOXING,82.35,129.64,131.79,117.7,43.64,159.02,0.6468,0,1,0,0,1
VOLLEYBALL,92.11,129.55,162.35,53.6,16.71,176.25,0.7866,0,0,0,0,0
BADMINTON,144.67,136.4,95.22,129.98,32.56,147.53,0.657,1,1,0,1,2
